                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.79121,                0.41079,                0.96427,                0.94593,                0.88926,                0.95062,                0.56398,                 1.5231,                0.67847,                 1.7106,             0.00029061,             0.00029061,             0.00029061
                     59,                0.81377,                0.41753,                0.97717,                0.91827,                0.89753,                0.95205,                0.56152,                 1.5208,                0.65312,                 1.6962,             0.00028401,             0.00028401,             0.00028401
                     60,                0.82744,                0.42401,                0.96864,                0.92672,                0.89733,                0.96324,                0.58868,                 1.4972,                0.61895,                 1.6615,             0.00027741,             0.00027741,             0.00027741
                     61,                0.77478,                0.40667,                0.94636,                0.95293,                0.86365,                0.95184,                0.56219,                 1.5014,                0.62509,                 1.6616,              0.0002708,              0.0002708,              0.0002708
                     62,                0.77889,                0.39067,                0.95513,                0.95499,                0.85164,                0.94615,                0.57758,                 1.4988,                0.66601,                 1.6675,              0.0002642,              0.0002642,              0.0002642
                     63,                0.76512,                0.40011,                0.94881,                0.95147,                0.84451,                0.93774,                0.57692,                  1.471,                0.65577,                  1.631,              0.0002576,              0.0002576,              0.0002576
                     64,                0.75298,                0.38978,                0.95126,                0.92934,                0.85143,                0.93439,                0.57804,                 1.4521,                0.63775,                 1.6101,             0.00025099,             0.00025099,             0.00025099
                     65,                0.74206,                0.39623,                0.94461,                0.93884,                0.83339,                0.93614,                0.58416,                 1.4308,                0.64898,                    1.6,             0.00024439,             0.00024439,             0.00024439
                     66,                0.74773,                0.38814,                0.94796,                0.90909,                0.85083,                0.93432,                0.56481,                 1.4492,                0.64681,                 1.6151,             0.00023779,             0.00023779,             0.00023779
                     67,                0.75739,                0.38647,                0.95004,                0.93715,                0.83397,                0.94218,                0.56065,                 1.4911,                 0.6482,                 1.6471,             0.00023118,             0.00023118,             0.00023118
                     68,                0.74575,                 0.3828,                0.94725,                0.90548,                0.85607,                0.93708,                0.56253,                 1.5172,                0.66121,                 1.6435,             0.00022458,             0.00022458,             0.00022458
                     69,                0.72614,                 0.3758,                0.92784,                0.93282,                0.82537,                0.93318,                0.56523,                 1.4901,                0.68119,                 1.6558,             0.00021798,             0.00021798,             0.00021798
                     70,                0.70424,                0.36134,                0.94179,                0.92671,                0.83086,                0.94011,                0.55633,                 1.5122,                0.70003,                   1.69,             0.00021137,             0.00021137,             0.00021137
                     71,                0.71746,                0.37539,                0.93224,                0.93269,                0.83324,                0.94417,                0.56315,                 1.5239,                0.68922,                 1.6534,             0.00020477,             0.00020477,             0.00020477
                     72,                0.72358,                  0.383,                0.94073,                0.94978,                0.82436,                0.94428,                0.55352,                  1.528,                0.70809,                 1.6718,             0.00019817,             0.00019817,             0.00019817
                     73,                0.71754,                0.38193,                 0.9297,                0.94811,                0.82825,                0.93492,                0.55626,                 1.5306,                 0.6917,                  1.683,             0.00019156,             0.00019156,             0.00019156
                     74,                 0.6933,                0.36094,                0.93209,                0.87145,                 0.8846,                0.94178,                0.56933,                 1.5285,                0.67598,                 1.6671,             0.00018496,             0.00018496,             0.00018496
                     75,                0.69432,                0.35536,                0.93346,                0.95434,                0.84215,                0.94466,                0.57132,                 1.5437,                0.68232,                 1.6765,             0.00017836,             0.00017836,             0.00017836
                     76,                0.70593,                0.38761,                0.93648,                0.95552,                0.84155,                0.94791,                0.57503,                 1.5275,                0.65161,                 1.6838,             0.00017175,             0.00017175,             0.00017175
                     77,                0.66502,                0.35465,                0.92551,                0.95398,                0.83812,                0.94729,                0.56962,                 1.5196,                0.68157,                 1.6631,             0.00016515,             0.00016515,             0.00016515
                     78,                0.67768,                0.36858,                 0.9237,                0.96046,                0.83888,                0.93858,                0.56455,                 1.5547,                0.68581,                 1.7026,             0.00015855,             0.00015855,             0.00015855
                     79,                0.69928,                0.36889,                0.94858,                0.96399,                0.84154,                0.94584,                0.56275,                 1.5295,                0.65975,                 1.7157,             0.00015194,             0.00015194,             0.00015194
                     80,                0.67894,                0.36085,                0.92606,                0.96004,                0.85069,                0.94463,                0.56829,                 1.5331,                0.66369,                 1.7126,             0.00014534,             0.00014534,             0.00014534
                     81,                0.66441,                0.35014,                0.91628,                0.96064,                0.85506,                0.93595,                0.58256,                 1.5225,                 0.6567,                 1.7018,             0.00013874,             0.00013874,             0.00013874
                     82,                0.65317,                0.34559,                0.91263,                0.95847,                0.85825,                0.93611,                0.58887,                 1.4867,                0.62634,                 1.6698,             0.00013213,             0.00013213,             0.00013213
                     83,                0.65167,                0.34632,                0.89994,                0.94866,                0.85748,                0.95195,                0.58787,                 1.4858,                0.61775,                 1.6669,             0.00012553,             0.00012553,             0.00012553
                     84,                0.65571,                0.35784,                0.91559,                0.90923,                0.89118,                0.95007,                0.59148,                 1.4649,                0.63059,                 1.6749,             0.00011893,             0.00011893,             0.00011893
                     85,                0.63102,                0.34316,                0.90809,                0.92398,                0.88236,                0.94916,                0.59658,                 1.4682,                0.63011,                 1.6766,             0.00011232,             0.00011232,             0.00011232
                     86,                0.65536,                0.35833,                0.91939,                0.92958,                0.87907,                0.95005,                0.58152,                  1.491,                0.64465,                 1.6912,             0.00010572,             0.00010572,             0.00010572
                     87,                0.63044,                0.33192,                0.89742,                0.93076,                 0.8782,                0.94717,                0.57198,                 1.5015,                0.64088,                 1.6824,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.62719,                0.32868,                0.90831,                0.94264,                0.86937,                0.94094,                0.57968,                  1.488,                0.63887,                 1.6663,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                0.62387,                0.33112,                0.89425,                0.95161,                0.86565,                0.93928,                0.58874,                 1.4827,                0.63975,                 1.6451,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                  0.623,                0.33313,                0.90415,                0.94819,                0.86935,                0.94552,                0.59888,                 1.4732,                0.64022,                 1.6388,             7.9306e-05,             7.9306e-05,             7.9306e-05
